feature,Baseline (C=1e6),L2 (C=1.0),L1 (C=1.0)
chem_mordred_Xp-1dv,-1.9075580630418498,-1.5667917075834954,-1.1989739263263997
chem_mol2vec284,1.8297250514682015,1.5389064793103888,1.5428246307280034
chem_mordred_Xp-5dv,-0.9256450518366641,-1.4600289000256415,-1.8082368377015139
chem_mordred_Xch-6d,1.578390641170433,1.7225232387206635,1.7022531271300625
chem_mordred_ATS3v,1.7121975915494931,-0.47790016272472813,0.0
chem_mordred_ATS4v,1.6526344684789263,-0.27148023198150084,0.0
chem_mordred_GGI3,-1.6103645711480519,-0.18819457811287377,-0.2711406202081231
chem_mol2vec144,-1.6099919232401594,-1.4875886949620307,-1.4067666623747541
chem_mordred_TSRW10,-1.5703907028120796,-1.2746378206699174,-1.2430641970697849
chem_mordred_Xp-4d,-1.5468961263228103,-0.12143441516200006,-0.5527319184857077
chem_mordred_MIC5,1.4879628935418014,0.23180633077317492,0.0
chem_mordred_ZMIC2,-1.4757007073973454,-1.1502002069086363,-1.2884358314828914
chem_mordred_Xp-1d,1.4086612607010338,0.43325918703136473,0.0
chem_mordred_ATS5p,1.3938606105725502,0.29864209265256547,0.07235717915665256
chem_mordred_nC,-1.3447776390987085,0.3047048105718996,0.0
chem_mol2vec071,-1.076879326130544,-1.1629534058067497,-1.2491932072964222
chem_mordred_WPol,-0.37853701220132274,0.9658355086401544,1.1940909477874848
chem_rings_count,1.1912283365393619,0.07146146782572332,0.03495192710567167
chem_mordred_nRing,1.1912283365393619,0.07146146782572332,0.02856866185646068
chem_mol2vec061,1.1876570025842146,0.48674150480204414,0.580498956826091
chem_mol2vec233,0.7330830915041855,1.084443005969859,1.1846111177340626
chem_mol2vec124,1.1744358416557594,0.4335845873924423,0.45374243804702713
chem_mordred_ATSC0Z,-1.1693629856950865,0.43274948487348325,0.18266292530253211
chem_mol2vec184,-1.124550600583735,-0.5805536116483371,-0.5980457309180341
chem_mol2vec221,-0.7968525605065291,-1.0517989936409406,-0.9825855608083361
chem_mordred_Xp-6dv,-1.0355708860243595,-0.6785034208432945,-0.6540562856332778
chem_mol2vec135,-0.9617782848113043,-0.886978044731652,-0.7413744754136711
chem_mol2vec126,-0.9533410234513086,-0.9407307192744152,-0.9357072687713541
chem_mol2vec254,0.9004090079461352,0.9275494969301227,0.9342831919331451
chem_mol2vec197,0.9142435500083043,0.5988875637491461,0.5843310646623544
chem_mordred_ABCGG,0.9105959629936223,0.4621008052184121,0.4971665671052086
chem_mol2vec217,-0.7975805956907368,-0.9101253278203085,-0.83043819713566
chem_mordred_ATS0v,-0.6256712857860106,-0.791858821750901,-0.6970119667502216
chem_mordred_PEOE_VSA6,0.7878908005302216,0.5384401456080565,0.5590262558756696
chem_mol2vec167,-0.7731133456957144,-0.6995084007068871,-0.7217193747361021
chem_mol2vec256,-0.7184463505384406,-0.1079813992250242,-0.12698983994540156
chem_mordred_GGI4,0.6905800232030451,-0.018702100265885965,0.03233114125840886
chem_mordred_EState_VSA2,0.6809480294567468,0.6540495468353381,0.6509547124257381
chem_mordred_Xc-3dv,0.5498599535299827,0.6597513782598999,0.3883665620236642
chem_mol2vec054,0.6214169852433843,0.6556514285382401,0.5298232196145011
chem_mol2vec258,0.6203735170035989,0.36566798140115836,0.2592062418070884
chem_mol2vec289,0.46921649739150306,0.6066430768156299,0.6155984407970964
chem_rdkit_clogp,0.6054648576382835,0.44358747970969,0.39069622970561113
chem_mordred_SLogP,0.6054648576382835,0.44358747970969,0.39691432167911295
chem_mordred_ZMIC0,0.602795623533408,0.5711614016515296,0.34663591579790304
chem_mol2vec156,-0.5953193848420449,0.1317284798357126,0.08171597665310992
chem_mordred_EState_VSA9,0.5894595931380148,0.20326237642815428,0.3663278002834556
chem_mol2vec060,-0.57789660227523,-0.08236365815399939,-0.018297544483105447
chem_mol2vec064,-0.5425761964727738,0.1871157464348845,0.1468598153773635
chem_mol2vec179,-0.3225260280610075,-0.5402011265972777,-0.5411779954350873
chem_mol2vec045,0.18060783055304003,0.48655258323159395,0.44136250360659457
chem_mordred_FilterItLogS,0.47437418657199154,0.07501533896213085,0.10106673353284427
chem_mordred_AATS0d,0.10808540813825365,0.12684898077808174,0.42661735640400916
chem_mordred_piPC10,0.3458026496388239,0.42482745142155903,0.36313205520063835
chem_mol2vec130,-0.14316090621005098,-0.35041034266559173,-0.41917396655555794
chem_mol2vec038,-0.41250920321158874,-0.3139963714415337,-0.25338688992456593
chem_mordred_fragCpx,0.4072467053500614,0.023948023655604472,0.0
chem_mol2vec001,-0.07541392502503116,-0.31086797681298595,-0.39645297192310364
chem_mordred_piPC7,-0.2809979862272458,-0.20087335448605784,-0.3148592995229558
chem_mol2vec027,-0.31344837809437276,-0.2756524247248327,-0.23712111862214172
chem_mol2vec226,-0.3078271836950499,-0.06754987224377358,0.011820581048788545
chem_mol2vec023,0.21815450189477942,-0.307610258649082,-0.18289533467503172
chem_mol2vec107,0.2695385757222638,0.29333733603412265,0.30112254125012833
chem_mol2vec202,-0.2988448742445465,-0.21791711737768904,-0.22166470462393056
chem_mordred_ZMIC1,-0.2123556863097582,-0.2894135621797708,-0.15718918965851914
chem_mol2vec048,-0.2500045454708186,0.14279468695864547,0.0908905823749821
chem_mol2vec295,-0.06720844636725133,-0.23201696013525067,-0.23379012348855682
chem_mol2vec051,0.1682342706702611,0.19477111928316274,0.13116287517436048
chem_mol2vec285,0.19460504256799235,0.011372828041834631,0.1541980781949645
chem_mol2vec056,-0.00743366779118259,-0.17781004301062647,-0.18598272203930044
chem_mol2vec066,0.18424784174293948,0.16543995626400299,0.09297229276820479
chem_mol2vec110,-0.04287055093443481,-0.12192392313772704,-0.14199003420141743
chem_mol2vec265,-0.0293706350053487,-0.12815691394823195,-0.11416976564161549
chem_mol2vec296,0.11997046452317447,-0.12159008227087699,-0.09731160374284613
chem_pcp_fp_bit_0712,0.030714030296652386,-0.07922332000111272,-0.04489590210803555
chem_mol2vec062,-0.041327383743650095,0.04243134435970909,0.04682404198899783
